epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,4.2518955123039985,0.11945564516129033,3.1810458123267114,0.4595869247032038,0.0009972609476841367,11.548010110855103
2,2.400437174304839,0.6134072580645161,1.4599818543949483,0.7482517482517482,0.0009890738003669028,10.71577763557434
3,1.2239539200259792,0.8084677419354839,0.8234794158667234,0.8450154496666125,0.0009755282581475768,10.51775074005127
4,0.7667010157339035,0.8820564516129032,0.6062557091004995,0.8912018214343795,0.0009567727288213003,10.432516098022461
5,0.5609356982092704,0.9168346774193549,0.4943658073197527,0.9016100178890877,0.0009330127018922195,10.405057668685913
6,0.43695180839107883,0.9304435483870968,0.4018383891812295,0.9185233371279883,0.0009045084971874739,10.731599569320679
7,0.37463908378155003,0.9430443548387096,0.37296181059143935,0.924865831842576,0.0008715724127386972,10.28108811378479
8,0.3300810004434278,0.9455645161290323,0.34743413458016226,0.9264921125386242,0.0008345653031794292,10.593107223510742
9,0.29521912480554274,0.9506048387096774,0.31902333908207114,0.9325093511140022,0.0007938926261462366,10.094765186309814
10,0.29493041288468147,0.9546370967741935,0.3060915458033818,0.9344608879492601,0.00075,10.504952430725098
11,0.2430166308918307,0.9591733870967742,0.2824016636819711,0.9427549194991055,0.0007033683215379003,10.330531597137451
12,0.2367197176621806,0.9601814516129032,0.2743574368950252,0.9429175475687104,0.0006545084971874739,10.370579481124878
13,0.20732557989897266,0.9662298387096774,0.2670195835290677,0.9421044072206863,0.0006039558454088797,10.269842147827148
14,0.2108180998794494,0.9657258064516129,0.2524779881963349,0.945031712473573,0.0005522642316338269,10.481162548065186
15,0.21162422722385776,0.9632056451612904,0.24622608350029776,0.9473085054480403,0.0005000000000000002,10.508937120437622
16,0.1912987907567332,0.9682459677419355,0.24467578166400583,0.9464953651000163,0.0004477357683661734,10.275925159454346
17,0.20541448939231136,0.9637096774193549,0.2395344742077466,0.9481216457960644,0.00039604415459112036,10.536119937896729
18,0.17815087062697257,0.969758064516129,0.2323123462279178,0.9495852984225077,0.0003454915028125264,10.549265384674072
19,0.1788218588598313,0.9692540322580645,0.22953462017362927,0.9500731826313221,0.00029663167846210003,10.326748132705688
20,0.17104137076004858,0.9742943548387096,0.23010566755268977,0.9503984387705318,0.00025000000000000017,10.557170867919922
21,0.15635734051465988,0.9742943548387096,0.23068533202507246,0.9497479264921126,0.00020610737385376354,10.590866804122925
22,0.1446335077766449,0.9768145161290323,0.22925776995113853,0.950235810700927,0.00016543469682057108,10.871213674545288
23,0.15480691458909743,0.9758064516129032,0.22658953147657562,0.9507236949097414,0.00012842758726130303,10.488794088363647
24,0.15621280982609717,0.9722782258064516,0.22333240649254124,0.951048951048951,9.549150281252637e-05,10.573670387268066
25,0.15103560097275243,0.9778225806451613,0.22437555243176796,0.9512115791185559,6.698729810778068e-05,10.315414190292358
26,0.14630147093726742,0.9722782258064516,0.2274880764457967,0.9486095300048788,4.322727117869953e-05,10.454394340515137
27,0.14033452902109392,0.9763104838709677,0.22383329568903032,0.9490974142136933,2.447174185242324e-05,10.7676522731781
28,0.14693805935882753,0.9778225806451613,0.22252905995255298,0.9507236949097414,1.092619963309716e-05,10.54215145111084
29,0.14217290618727285,0.9768145161290323,0.22378860811517673,0.9508863229793463,2.7390523158633003e-06,10.781616449356079
30,0.15276532716328098,0.9727822580645161,0.22497890854157734,0.9497479264921126,0.0,10.394399642944336
