epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,4.481322196222121,0.09879032258064516,4.145447385235518,0.3808749390144739,0.0009972609476841367,10.90477466583252
2,3.802921018292827,0.47731854838709675,3.270767729657319,0.6414051065213856,0.0009890738003669028,10.046991348266602
3,2.7800109232625654,0.6648185483870968,2.0921988546954924,0.7528053342006831,0.0009755282581475768,10.000082015991211
4,1.7364904611341414,0.7827620967741935,1.2546686421353404,0.806147341031062,0.0009567727288213003,10.313973665237427
5,1.1150891280943347,0.8397177419354839,0.9020150675460912,0.8363961619775573,0.0009330127018922195,10.343826293945312
6,0.8275522089773609,0.8669354838709677,0.7531453948622459,0.8461538461538461,0.0009045084971874739,10.457521915435791
7,0.6869986701396203,0.8780241935483871,0.6434320622949382,0.8648560741583997,0.0008715724127386972,10.04597020149231
8,0.5420379561762656,0.9042338709677419,0.5743155697792899,0.8700601723857537,0.0008345653031794292,10.164003849029541
9,0.5054156482219696,0.905241935483871,0.5208774719209782,0.88209464953651,0.0007938926261462366,10.552161693572998
10,0.4310710622418311,0.9248991935483871,0.5013012933332923,0.8842088144413726,0.00075,10.311973333358765
11,0.41613443772638997,0.9223790322580645,0.46632275367657,0.8892502845991218,0.0007033683215379003,10.236629486083984
12,0.33381354808807373,0.936491935483871,0.4408502086741369,0.8968938038705481,0.0006545084971874739,10.47321891784668
13,0.3247498658395583,0.9395161290322581,0.42687902269361805,0.8981948284273865,0.0006039558454088797,9.896270036697388
14,0.2857006884390308,0.953125,0.40934536822811485,0.9027484143763214,0.0005522642316338269,10.136428594589233
15,0.3016133125751249,0.9445564516129032,0.39779315191321224,0.9016100178890877,0.0005000000000000002,10.171916246414185
16,0.27767553733241174,0.9460685483870968,0.39040107899484044,0.9068141161164417,0.0004477357683661734,10.46115255355835
17,0.2724751767612273,0.9435483870967742,0.38052456101814913,0.9046999512115791,0.00039604415459112036,10.127358675003052
18,0.23689390622800396,0.9606854838709677,0.3803625964727886,0.9081151406732803,0.0003454915028125264,9.975383758544922
19,0.2290192155107375,0.9606854838709677,0.3773639342399424,0.9071393722556513,0.00029663167846210003,10.082845449447632
20,0.2425089387163039,0.9536290322580645,0.36609466621828846,0.9099040494389331,0.00025000000000000017,10.401058673858643
21,0.21978641229291115,0.9591733870967742,0.36587243740034747,0.9086030248820947,0.00020610737385376354,10.33095645904541
22,0.2396952211856842,0.953125,0.36523280151225934,0.9097414213693283,0.00016543469682057108,10.182798624038696
23,0.23383122201888792,0.9591733870967742,0.3626368339134874,0.9113677020653765,0.00012842758726130303,10.253157615661621
24,0.2191679441640454,0.9576612903225806,0.3602985332244854,0.9125060985526102,9.549150281252637e-05,10.10228967666626
25,0.239201836047634,0.9551411290322581,0.35436355668547354,0.9165718002927306,6.698729810778068e-05,10.453128099441528
26,0.20795580167924205,0.9642137096774194,0.35596252132569445,0.9141323792486583,4.322727117869953e-05,10.421334505081177
27,0.2117628322974328,0.9606854838709677,0.36074324853910333,0.9123434704830053,2.447174185242324e-05,10.434571266174316
28,0.22622505142804114,0.9586693548387096,0.3568600078078087,0.9129939827614246,1.092619963309716e-05,10.053838729858398
29,0.21503034882968472,0.9591733870967742,0.35987749142664066,0.9128313546918199,2.7390523158633003e-06,10.13632845878601
30,0.22480509886818548,0.9516129032258065,0.35613328767802577,0.9128313546918199,0.0,10.696151971817017
